id;address;pricePerSqm;yearBuilt;sourceLink;salePrice;size;roomInfo;houseType;postcode
2698;Välskärintie 11, Hönttämäki Oulu;1269;1983;http://www.etuovi.com/kohde/1194391?sc=M1042147289&pos=2787;99000;78;3h, k, kh/wc,wc, s, vh;Rivitalo;90630
2701;Sirppitie 33, Välivainio Oulu;2038;1959;http://www.etuovi.com/kohde/1194276?sc=M1042147289&pos=2790;159000;78;4h, k, s, kh-tila, autotalli;Omakotitalo;90530
2711;Kirkkokatu 4, Keskusta Oulu;2778;1957;http://www.etuovi.com/kohde/9822182?sc=M1042147289&pos=2830;175000;63;3h, k, kh;Kerrostalo;90100
2729;Kasarmintie 7 C 15, Myllytulli Oulu;4600;2018;http://www.etuovi.com/kohde/7718998?sc=M1042147289&pos=2851;361100;78.5;3h+k+s;Kerrostalo;90100
2730;Kasarmintie 7 C 14, Myllytulli Oulu;4450;2018;http://www.etuovi.com/kohde/7718997?sc=M1042147289&pos=2852;186900;42;2h+kt+s;Kerrostalo;90100
2731;Kasarmintie 7 C 13, Myllytulli Oulu;4350;2018;http://www.etuovi.com/kohde/7718996?sc=M1042147289&pos=2853;156600;36;1h+kt;Kerrostalo;90100
2732;Kasarmintie 7 C 12, Myllytulli Oulu;4175;2018;http://www.etuovi.com/kohde/7718995?sc=M1042147289&pos=2854;217100;52;2h+k+s;Kerrostalo;90100
2733;Kasarmintie 7 C 11, Myllytulli Oulu;4500;2018;http://www.etuovi.com/kohde/7718800?sc=M1042147289&pos=2855;335250;74.5;3h+k+s;Kerrostalo;90100
2734;Kasarmintie 7 C 9, Myllytulli Oulu;4300;2018;http://www.etuovi.com/kohde/7718796?sc=M1042147289&pos=2856;180600;42;2h+kt+s;Kerrostalo;90100
2735;Kasarmintie 7 C 6, Myllytulli Oulu;4273;2018;http://www.etuovi.com/kohde/7718789?sc=M1042147289&pos=2857;117500;27.5;1h+kt;Kerrostalo;90100
2736;Kasarmintie 7 C 7, Myllytulli Oulu;3890;2018;http://www.etuovi.com/kohde/7718790?sc=M1042147289&pos=2858;202280;52;2h+k+s;Kerrostalo;90100
2737;Kasarmintie 7 C 5, Myllytulli Oulu;4100;2018;http://www.etuovi.com/kohde/7718788?sc=M1042147289&pos=2859;188600;46;2h+kt+s;Kerrostalo;90100
2738;Kasarmintie 7 C 3, Myllytulli Oulu;4207;2018;http://www.etuovi.com/kohde/7718786?sc=M1042147289&pos=2860;119900;28.5;1h+kt;Kerrostalo;90100
2744;Kasarmintie 7 C 2, Myllytulli Oulu;4050;2018;http://www.etuovi.com/kohde/7718783?sc=M1042147289&pos=2861;172125;42.5;2h+kt+s;Kerrostalo;90100
2839;Orsitie 6 C, Talonpojankangas Oulu;1957;1988;http://www.etuovi.com/kohde/7731930?sc=M1042147289&pos=3010;137000;70;3h, k, s;Rivitalo;90240
2850;Kuntolenkki 15 A, Kivikkokangas Oulu;2092;2014;http://www.etuovi.com/kohde/e43346?sc=M1042147289&pos=3033;182000;87;4h(3mh+oh)+k+khh/wc+kh+s+erill.wc+vh+et;Paritalo;90650
2884;Rautatienkatu 86, Limingantulli Oulu;3626;2016;http://www.etuovi.com/kohde/9590801?sc=M1042147289&pos=3067;126900;35;1h,kt,kh,las.parv;Kerrostalo;90400
2885;Uimarannantie 2, Kiiminki Oulu;1913;2015;http://www.etuovi.com/kohde/9721206?sc=M1042147289&pos=3068;110000;57.5;2h,k,kh,sa,vh,piha;Kerrostalo;90900
2886;Uimarannantie 2, Kiiminki Oulu;2167;2015;http://www.etuovi.com/kohde/9926485?sc=M1042147289&pos=3069;78000;36;1h,k,kh,sa;Kerrostalo;90900
2903;Hevosenkengänkuja 4, Kuivasjärvi Oulu;1747;1987;http://www.etuovi.com/kohde/e43333?sc=M1042147289&pos=3086;193000;110.5;3mh,oh,k,khh,ph,s,varasto,autotalli;Omakotitalo;90540
3133;Kullervontie 2 A, Kaijonharju Oulu;1366;1989;http://www.etuovi.com/kohde/7730364?sc=M1042147289&pos=3347;99000;72.5;3h, k, s;Luhtitalo;90570
